Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:66qXWZBlKOitR3LMzmrya6,"Midnight at McGuffy's","Midnight at McGuffy's","Dance Gavin Dance",2025-05-08,250698,44,false,226w3phs7mjprjolyqjkylp3q,2025-06-16T20:24:37Z,"post-hardcore,screamo,metalcore,emo,math rock","Rise Records",0.565,0.984,6,-2.181,1,0.0971,0.0135,0,0.157,0.566,125.011,4
spotify:track:3znIACSXPLn3HFCf7moZ28,"It's Going Down Now","Persona 3 Reload Original Soundtrack","Azumi Takahashi;Lotus Juice;ATLUS Sound Team;ATLUS GAME MUSIC",2024-04-24,186093,73,false,226w3phs7mjprjolyqjkylp3q,2025-06-16T20:24:39Z,"japanese vgm,soundtrack","ATLUS GAME MUSIC",0.483,0.952,1,-5.747,0,0.0531,0.00151,0.000265,0.291,0.798,83.977,4
spotify:track:13nMWX9yA13HoDvnQgmgSn,"POSER","we owe you an explanation","PARTYOF2;Jadagrace;SWIM",2025-03-14,143000,68,true,226w3phs7mjprjolyqjkylp3q,2025-06-16T20:24:41Z,"","Def Jam Recordings",0.773,0.677,2,-6.822,1,0.352,0.541,0,0.141,0.4,152.079,4
spotify:track:0RgjEkSbeuStKfT2Pa4Zai,"reincarnated","GNX","Kendrick Lamar",2024-11-22,275740,70,true,226w3phs7mjprjolyqjkylp3q,2025-06-16T20:24:43Z,"hip hop,west coast hip hop","pgLang, under exclusive license to Interscope Records",0.846,0.779,7,-5.363,1,0.254,0.0534,0,0.299,0.748,91.118,4
spotify:track:1YdtGoSYDvVQKoUqSDXX41,"Noid","CHROMAKOPIA","Tyler, The Creator",2024-10-28,284363,68,true,226w3phs7mjprjolyqjkylp3q,2025-06-16T20:24:47Z,"","Columbia",0.38,0.784,1,-6.004,1,0.299,0.523,0.000139,0.494,0.418,82.318,4
spotify:track:4pjFNyjGaoKgLTnndISP6V,"Color Your Night","Persona 3 Reload Original Soundtrack","Lotus Juice;Azumi Takahashi;ATLUS Sound Team;ATLUS GAME MUSIC",2024-04-24,227240,67,false,226w3phs7mjprjolyqjkylp3q,2025-06-16T20:24:50Z,"japanese vgm,soundtrack","ATLUS GAME MUSIC",0.666,0.758,1,-9.355,1,0.0303,0.34,0.0159,0.188,0.933,95.028,4
spotify:track:2aYHxnMF2umAavtgBvmkY1,"Thought I Was Dead (feat. ScHoolboy Q & Santigold)","CHROMAKOPIA","Tyler, The Creator;ScHoolboy Q;Santigold",2024-10-28,207273,71,true,226w3phs7mjprjolyqjkylp3q,2025-06-16T20:24:58Z,"","Columbia",0.77,0.859,10,-3.382,0,0.275,0.362,0,0.673,0.64,129.77,4
spotify:track:5RePVWy39tLpHH0WwXgBsK,"Rah Tah Tah","CHROMAKOPIA","Tyler, The Creator",2024-10-28,165412,72,true,226w3phs7mjprjolyqjkylp3q,2025-06-16T20:25:02Z,"","Columbia",0.661,0.878,1,-4.099,1,0.31,0.00289,0,0.381,0.514,82.557,4
spotify:track:0aB0v4027ukVziUGwVGYpG,"tv off (feat. lefty gunplay)","GNX","Kendrick Lamar;Lefty Gunplay",2024-11-22,220690,85,true,226w3phs7mjprjolyqjkylp3q,2025-06-16T20:25:09Z,"hip hop,west coast hip hop","pgLang, under exclusive license to Interscope Records",0.855,0.529,6,-6.679,0,0.263,0.0837,0,0.423,0.548,100.036,4
spotify:track:3uC4r2daXertBxxc8BpbbN,"Lithonia","Bando Stone and The New World","Childish Gambino",2024-07-19,178960,60,true,226w3phs7mjprjolyqjkylp3q,2025-06-16T20:25:19Z,"","Wolf+Rothstein/RCA Records",0.412,0.377,1,-7.59,1,0.029,0.0754,0.00000158,0.14,0.172,139.676,4
